railway_zone,division,facility_name,facility_type,rolling_stock_type,maintenance_type,latitude,longitude,coordinate_basis,estimated_coordinate_accuracy,coordinate_note,facility_source,coordinate_source
Southern Railway,Chennai,"Loco Works, Perambur",Major Workshop,Locomotives,POH / Heavy Repair,13.1073,80.2389,workshop_area_proxy,Approx. 500 m,Perambur workshop area,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Chennai,"Carriage & Wagon Works, Perambur",Major Workshop,Coaches/Wagons,POH / Heavy Repair,13.1073,80.2389,workshop_area_proxy,Approx. 500 m,Perambur workshop area,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Tiruchirappalli,"Central Workshops, Goldenrock",Major Workshop,Coaches/Wagons/Locomotives,POH / Heavy Repair,10.79,78.73,locality_proxy,Approx. 2 km,Golden Rock/Ponmalai locality,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Chennai,Avadi Car Shed,EMU/MEMU Car Shed,EMU/MEMU,Scheduled Maintenance,13.1147,80.1013,station_proxy,Approx. 1 km,Avadi station area,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Chennai,Tambaram Car Shed,EMU/MEMU Car Shed,EMU/MEMU,Scheduled Maintenance,12.9266,80.1199,station_proxy,Approx. 1 km,Tambaram station,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Chennai,Velachery Car Shed,EMU/MEMU Car Shed,EMU/MEMU,Scheduled Maintenance,12.9815,80.218,station_proxy,Approx. 1 km,Velachery station area,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Palakkad,Palghat Car Shed,EMU/MEMU Car Shed,EMU/MEMU,Scheduled Maintenance,10.7735,76.6515,station_proxy,Approx. 1 km,Palakkad Junction area,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Thiruvananthapuram,Quilon Car Shed,EMU/MEMU Car Shed,EMU/MEMU,Scheduled Maintenance,8.885,76.595,station_proxy,Approx. 1 km,Kollam Junction area,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Nilgiri,"ONR Steam Loco Shed, Coonoor",Steam Loco Shed,Heritage Steam Locomotives,Maintenance,11.353,76.795,station_proxy,Approx. 1 km,Coonoor station area,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
Southern Railway,Tiruchirappalli,DEMU Maintenance Depot,DEMU Depot,DEMU,Scheduled Maintenance,10.815,78.686,station_proxy,Approx. 1 km,Tiruchirappalli Junction area,"Southern Railway, Mechanical Department – Rolling Stock Maintenance Facilities (official zonal railway website)","DataMeet Indian Railway Stations dataset (station coordinates), cross-checked where available with OpenStreetMap/Wikidata/Mapcarta"
